The Shawshank Redemption|Frank Darabont|Drama|1994|R
The Godfather|Francis Ford Coppola|Crime|1972|R
The Godfather: Part II|Francis Ford Coppola|Crime|1974|R
The Dark Knight|Christopher Nolan|Action|2008|PG-13
12 Angry Men|Sidney Lumet|Drama|1957|Not Rated
Schindler's List|Steven Spielberg|Drama|1993|R
The Lord of the Rings: The Return of the King|Peter Jackson|Fantasy|2003|PG-13
Pulp Fiction|Quentin Tarantino|Crime|1994|R
The Good, the Bad and the Ugly|Sergio Leone|Western|1966|R
Fight Club|David Fincher|Drama|1999|R
Lock, Stock and Two Smoking Barrels|Guy Ritchie|Dark Comedy|1998|R
Nope|Jordan Peele|Horror/Sci-fi|2022|R
